pop	pop#	ntox	tox	toxse	normtox	normtoxse	viewer	background	noise	vord	dl	ds	euc	qt	qtse	normqt	dluvminus	dsuvminus	eucuvminus
AG	4	7	1.088161949	0.098258171	0.63290169	0.057149363	bird	heli	sp	d	0.663722415	0.233671337	0.555260377	3689.650359	160.5477775	0.427836697	0.663722415	0.233207331	0.554822449
AG	4	7	1.088161949	0.098258171	0.63290169	0.057149363	bird	bark	sp	d	0.112856785	0.476213307	0.209312332	3689.650359	160.5477775	0.427836697	0.112856785	0.468019096	0.20692517
AG	4	7	1.088161949	0.098258171	0.63290169	0.057149363	bird	leaf	sp	d	0.713476708	0.589575949	0.687093613	3689.650359	160.5477775	0.427836697	0.713476708	0.585557048	0.686149468
AG	4	7	1.088161949	0.098258171	0.63290169	0.057149363	bird	bark	fix	d	0.112856785	0.476213307	0.209312332	3689.650359	160.5477775	0.427836697	NA	NA	NA
AG	4	7	1.088161949	0.098258171	0.63290169	0.057149363	bird	heli	fix	d	0.663722415	0.233671337	0.555260377	3689.650359	160.5477775	0.427836697	NA	NA	NA
AG	4	7	1.088161949	0.098258171	0.63290169	0.057149363	bird	leaf	fix	d	0.713476708	0.589575949	0.687093613	3689.650359	160.5477775	0.427836697	NA	NA	NA
AG	4	7	1.088161949	0.098258171	0.63290169	0.057149363	bird	bark	fix	v	0.311692257	0.616059232	0.378064455	7779.902672	331.1174465	0.459080909	NA	NA	NA
AG	4	7	1.088161949	0.098258171	0.63290169	0.057149363	bird	bark	sp	v	0.311692257	0.616059232	0.378064455	7779.902672	331.1174465	0.459080909	NA	NA	NA
AG	4	7	1.088161949	0.098258171	0.63290169	0.057149363	bird	heli	fix	v	0.086310859	0.376624063	0.220702605	7779.902672	331.1174465	0.459080909	NA	NA	NA
AG	4	7	1.088161949	0.098258171	0.63290169	0.057149363	bird	heli	sp	v	0.086310859	0.376624063	0.220702605	7779.902672	331.1174465	0.459080909	NA	NA	NA
AG	4	7	1.088161949	0.098258171	0.63290169	0.057149363	bird	leaf	fix	v	0.068417045	0.74793125	0.319944986	7779.902672	331.1174465	0.459080909	NA	NA	NA
AG	4	7	1.088161949	0.098258171	0.63290169	0.057149363	bird	leaf	sp	v	0.068417045	0.74793125	0.319944986	7779.902672	331.1174465	0.459080909	NA	NA	NA
AG	4	7	1.088161949	0.098258171	0.63290169	0.057149363	crab	bark	fix	d	0.046300267	1	0.372387318	3689.650359	160.5477775	0.427836697	NA	NA	NA
AG	4	7	1.088161949	0.098258171	0.63290169	0.057149363	crab	bark	sp	d	0.046300267	1	0.372387318	3689.650359	160.5477775	0.427836697	NA	NA	NA
AG	4	7	1.088161949	0.098258171	0.63290169	0.057149363	crab	heli	fix	d	0.756570176	1	0.829792435	3689.650359	160.5477775	0.427836697	NA	NA	NA
AG	4	7	1.088161949	0.098258171	0.63290169	0.057149363	crab	heli	sp	d	0.756570176	1	0.829792435	3689.650359	160.5477775	0.427836697	NA	NA	NA
AG	4	7	1.088161949	0.098258171	0.63290169	0.057149363	crab	leaf	fix	d	0.290603611	1	0.438334048	3689.650359	160.5477775	0.427836697	NA	NA	NA
AG	4	7	1.088161949	0.098258171	0.63290169	0.057149363	crab	leaf	sp	d	0.290603611	1	0.438334048	3689.650359	160.5477775	0.427836697	NA	NA	NA
AG	4	7	1.088161949	0.098258171	0.63290169	0.057149363	crab	bark	fix	v	0.512958042	0.832920771	0.574209642	7779.902672	331.1174465	0.459080909	NA	NA	NA
AG	4	7	1.088161949	0.098258171	0.63290169	0.057149363	crab	bark	sp	v	0.512958042	0.832920771	0.574209642	7779.902672	331.1174465	0.459080909	NA	NA	NA
AG	4	7	1.088161949	0.098258171	0.63290169	0.057149363	crab	heli	fix	v	0.314622801	0.42069995	0.396998844	7779.902672	331.1174465	0.459080909	NA	NA	NA
AG	4	7	1.088161949	0.098258171	0.63290169	0.057149363	crab	heli	sp	v	0.314622801	0.42069995	0.396998844	7779.902672	331.1174465	0.459080909	NA	NA	NA
AG	4	7	1.088161949	0.098258171	0.63290169	0.057149363	crab	leaf	fix	v	0.416525055	0.477108345	0.473187325	7779.902672	331.1174465	0.459080909	NA	NA	NA
AG	4	7	1.088161949	0.098258171	0.63290169	0.057149363	crab	leaf	sp	v	0.416525055	0.477108345	0.473187325	7779.902672	331.1174465	0.459080909	NA	NA	NA
AG	4	7	1.088161949	0.098258171	0.63290169	0.057149363	pumilio	bark	fix	d	0.594514843	0.623307446	0.621026298	3689.650359	160.5477775	0.427836697	NA	NA	NA
